4	17.6	0.156205793746583	0.163967476449854
3.6	17.62	0.147187805201382	0.164140681530611
3.2	17.45	0.138622689340526	0.162668438344177
2.8	17.25	0.0977560739800858	0.160936387536608
2.6	17.09	0.0926512277306675	0.159550746890553
2.4	16.92	0.0876598539811697	0.15807850370412
2.2	16.75	0.082802475808396	0.156606260517686
2	16.63	0.0781040972036679	0.155567030033145
1.8	16.48	0.0735951764723749	0.154267991927468
1.6	16.34	0.0693126972494939	0.15305555636217
1.4	16.16	0.0653012251033623	0.151496710635358
1.2	16	0.0411855557204222	0.150111069989303
1.1	15.93	0.038590802012915	0.149504852206654
1	15.81	0.0360589794642056	0.148465621722112
0.9	15.71	0.0336043151990931	0.147599596318328
0.8	15.61	0.031244999599936	0.146733570914543
0.7	15.47	0.0290043100245464	0.145521135349245
0.6	15.34	0.0269118932815958	0.144395302324325
0.5	15.16	0.0180346887968714	0.142836456597513
0.4	14.88	0.0156284996080878	0.140411585466917
0.3	14.15	0.0103077640640442	0.134089600019291
0.2	11.55	0.00782623792124926	0.111572939520895
0.1	3.28	0.00364005494464026	0.163967476449854
