0.40	0.03	0.0156285	0.011806813
0.42	0.04	0.016093788	0.011893416
0.44	0.05	0.01656774	0.011980018
0.46	0.06	0.017049633	0.012066621
0.48	0.08	0.017538814	0.012239826
0.50	0.11	0.018034689	0.012499633
0.38	0.03	0.015172673	0.011806813
0.36	0.02	0.014727186	0.01172021
0.34	0.02	0.014293005	0.01172021
0.52	0.18	0.01853672	0.013105851
0.54	0.25	0.019044422	0.013712069
0.56	0.36	0.019557352	0.014664697
0.58	0.54	0.020075109	0.016223543
0.60	0.82	0.02059733	0.018648414
0.64	2.66	0.027728866	0.034583281
0.68	5.64	0.028572889	0.060390838
0.62	1.31	0.021123683	0.022891938
0.49	0.09	0.01778595	0.012326428
0.51	0.14	0.018284967	0.012759441
