0.050	0.02	0.001870829	0.01172021
0.052	0.03	0.001919271	0.011806813
0.088	0.04	0.003349567	0.011893416
0.100	0.05	0.003640055	0.011980018
0.108	0.06	0.00384026	0.012066621
0.116	0.07	0.004044799	0.012153223
0.124	0.08	0.004253046	0.012239826
0.130	0.10	0.006360818	0.012413031
0.150	0.15	0.006745369	0.012846043
0.170	0.23	0.007159609	0.013538864
0.200	0.41	0.007826238	0.01509771
0.230	0.72	0.008535807	0.017782388
0.260	1.23	0.00927847	0.022199118
0.300	2.43	0.010307764	0.032591423
0.320	3.32	0.013871193	0.040299049
